Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB
1,59.6,80.83,67.72,0,1,86,86,59.75,54,68,60,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,53.3,57.5,59.7,0,0,0,0,56.11,57,70,71,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,53.43,64.93,53,1,1,40,40,60.76,51,73,66,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,64.8,52.8,68.23,0,1,55.53,55.53,68.81,68,63,60,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,55,64,50,0,0,0,0,56.81,53,70,53,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,56,57,59,0,1,62,62,56.81,50,73,50,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,69,51,69,1,1,60,60,56.7,52,60,72,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,81.2,64.4,59,1,1,80,80,52.72,62,67,65,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,49.8,51.2,46.22,2,0,0,0,57.32,50,79,79,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,71,51,74,1,1,85,85,59.99,65,79,73,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,58,54,64,0,1,64,64,62.46,50,71,60,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,77.92,75.5,63,0,1,68.71,68.71,60.99,67,77,60,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,57.58,59.6,50.2,1,1,76,76,65.33,65,75,69,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1,63.33,51,58.7,2,0,0,0,69.67,62,65,81,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,79,87,81,0,1,80,80,73.52,71,64,71,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,72.2,70.2,64.4,0,1,65,65,62.98,52,58,75,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,50,64,68,1,1,78,78,61.58,54,66,75,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,37.33,47.4,35.5,0,0,0,0,54.78,50,57,50,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,37,53,60,0,1,48,48,52.64,57,71,58,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1,71,59,63,1,1,35,35,54.04,56,65,50,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
1,73.5,94.7,76.86,0,1,97.4,97.4,74.01,60,69,82,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,75.66,71.5,58.35,0,1,56.39,56.39,66.5,74,69,56,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,46,62,58,0,0,0,0,57.83,54,78,65,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,60,66.5,56.8,1,1,57,57,56.6,50,72,65,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,66.8,50,56.38,1,1,57,57,56.13,50,69,69,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,67,50,52,0,1,76,76,54.96,50,63,59,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,69,75,49,1,1,75,75,60.77,61,73,62,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
0,60,72,65,1,1,72,72,64.66,57,74,81,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,54,47,59,0,1,64,64,51.45,64,63,56,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
